firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Swati,53,0.0,24.528,0.0,71.698,3.774,0.0,48619,female,1.0
Sybil,69,1.449,82.609,11.594,1.449,2.899,0.0,5662,female,1.0
Sydney,179,2.793,83.24,8.939,5.028,0.0,0.0,3408,female,0.63
Syed,289,0.692,23.875,0.0,74.048,0.692,0.692,191109,male,1.0
Sylvain,16,0.0,100.0,0.0,0.0,0.0,0.0,92484,male,1.0
Sylvester,103,5.825,32.039,60.194,1.942,0.0,0.0,15930,male,1.0
Sylvia,1420,24.014,58.169,12.113,5.282,0.352,0.07,145334,female,1.0
Sylvie,43,0.0,90.698,4.651,4.651,0.0,0.0,166749,female,0.99
Sylwia,16,0.0,100.0,0.0,0.0,0.0,0.0,67195,female,0.99
Tabatha,75,5.333,82.667,9.333,0.0,0.0,2.667,8213,female,1.0
Tabitha,193,3.109,84.974,9.326,1.554,0.518,0.518,25904,female,1.0
Tad,107,0.0,95.327,0.0,4.673,0.0,0.0,5871,male,0.99
Tadd,18,0.0,100.0,0.0,0.0,0.0,0.0,719,male,1.0
Tadeusz,71,0.0,97.183,0.0,2.817,0.0,0.0,11656,male,1.0
Tae,96,0.0,3.125,0.0,96.875,0.0,0.0,2701,male,0.87
Tai,124,0.0,12.903,1.613,85.484,0.0,0.0,1829,male,0.72
Tak,31,0.0,3.226,0.0,96.774,0.0,0.0,1037,male,0.81
Takashi,17,0.0,0.0,0.0,100.0,0.0,0.0,13430,male,1.0
Tal,35,0.0,97.143,2.857,0.0,0.0,0.0,1421,male,0.74
Talia,33,6.061,87.879,6.061,0.0,0.0,0.0,13718,female,1.0
Talin,15,0.0,100.0,0.0,0.0,0.0,0.0,181,female,0.76
Tam,157,0.0,5.096,0.0,94.904,0.0,0.0,3342,male,0.61
Tama,20,0.0,100.0,0.0,0.0,0.0,0.0,2779,female,0.87
Tamar,71,2.817,84.507,9.859,1.408,0.0,1.408,1226,female,0.9
Tamara,1743,1.721,93.001,4.418,0.574,0.115,0.172,181858,female,1.0
Tamatha,30,0.0,86.667,13.333,0.0,0.0,0.0,755,female,1.0
Tameka,30,0.0,10.0,90.0,0.0,0.0,0.0,6664,female,1.0
Tamela,88,2.273,87.5,10.227,0.0,0.0,0.0,2376,female,1.0
Tamera,163,0.0,95.092,4.908,0.0,0.0,0.0,4572,female,1.0
Tami,551,1.633,96.37,0.726,1.089,0.0,0.181,34631,female,0.99
Tamie,34,2.941,94.118,2.941,0.0,0.0,0.0,2238,female,0.99
Tamika,82,3.659,7.317,89.024,0.0,0.0,0.0,12245,female,1.0
Tammi,167,1.198,95.808,2.994,0.0,0.0,0.0,8825,female,1.0
Tammie,281,1.779,86.477,9.253,2.135,0.356,0.0,16782,female,1.0
Tammy,2916,1.578,92.421,2.846,2.743,0.171,0.24,168649,female,1.0
Tamra,195,0.513,96.923,2.051,0.513,0.0,0.0,5484,female,1.0
Tan,111,0.0,5.405,0.0,94.595,0.0,0.0,9477,male,0.68
Tana,100,2.0,94.0,3.0,1.0,0.0,0.0,8295,female,0.93
Tania,245,22.449,69.796,2.857,4.898,0.0,0.0,177978,female,1.0
Tanisha,42,0.0,19.048,80.952,0.0,0.0,0.0,12800,female,1.0
Tanja,71,2.817,88.732,8.451,0.0,0.0,0.0,81483,female,0.99
Tanner,54,1.852,96.296,0.0,1.852,0.0,0.0,932,male,0.98
Tanya,1069,3.648,81.946,10.664,2.9,0.468,0.374,138486,female,1.0
Tao,96,0.0,2.083,0.0,96.875,0.0,1.042,2113,male,0.87
Tara,1828,0.93,94.365,3.228,1.313,0.055,0.109,130762,female,1.0
Tarek,55,0.0,87.273,1.818,9.091,0.0,1.818,53847,male,0.99
Tari,31,0.0,93.548,6.452,0.0,0.0,0.0,732,female,0.55
Tariq,58,1.724,36.207,1.724,58.621,1.724,0.0,37592,male,1.0
Tarun,31,0.0,16.129,0.0,83.871,0.0,0.0,40029,male,1.0
Taryn,125,0.0,92.0,4.0,4.0,0.0,0.0,884,female,0.98
Tasha,145,2.069,73.103,22.759,2.069,0.0,0.0,29536,female,1.0
Tate,31,3.226,90.323,0.0,3.226,3.226,0.0,594,male,0.79
Tatiana,144,9.722,84.028,4.167,2.083,0.0,0.0,191835,female,1.0
Tatum,16,0.0,100.0,0.0,0.0,0.0,0.0,267,female,0.67
Tatyana,165,0.606,97.576,0.0,1.212,0.606,0.0,33460,female,1.0
Taunya,22,0.0,100.0,0.0,0.0,0.0,0.0,854,female,1.0
Tawny,30,3.333,93.333,0.0,3.333,0.0,0.0,2313,female,0.99
Tawnya,55,1.818,94.545,3.636,0.0,0.0,0.0,2591,female,1.0
Taylor,326,1.534,95.399,1.227,1.84,0.0,0.0,7383,female,0.55
Ted,763,1.311,89.384,1.704,7.208,0.393,0.0,97618,male,1.0
Tedd,37,0.0,94.595,0.0,5.405,0.0,0.0,1677,male,1.0
Teddy,158,6.962,75.316,4.43,12.658,0.0,0.633,14059,male,0.94
Teena,68,0.0,95.588,1.471,2.941,0.0,0.0,8521,female,1.0
Tena,50,4.0,88.0,4.0,4.0,0.0,0.0,3906,female,0.98
Teodora,40,32.5,45.0,0.0,22.5,0.0,0.0,14238,female,1.0
Teodoro,66,69.697,10.606,0.0,18.182,1.515,0.0,8827,male,1.0
Teofilo,30,66.667,20.0,0.0,13.333,0.0,0.0,3674,male,1.0
Tera,74,2.703,91.892,4.054,1.351,0.0,0.0,5866,female,0.98
Terence,460,0.435,86.304,8.043,4.565,0.217,0.435,30892,male,1.0
Teresa,5068,11.089,83.268,2.802,2.506,0.237,0.099,329538,female,1.0
Terese,121,3.306,94.215,0.826,1.653,0.0,0.0,5027,female,1.0
Teresita,200,19.5,18.5,1.0,60.0,0.5,0.5,15263,female,1.0
Teressa,32,0.0,87.5,12.5,0.0,0.0,0.0,2720,female,1.0
Teri,681,1.762,93.979,2.056,1.615,0.441,0.147,38936,female,1.0
Terra,92,0.0,92.391,6.522,1.087,0.0,0.0,9062,female,0.98
Terrance,456,0.439,81.579,15.132,2.412,0.0,0.439,16535,male,1.0
Terrell,106,0.0,61.321,37.736,0.0,0.0,0.943,499,male,0.98
Terrence,718,0.557,86.908,9.471,2.646,0.139,0.279,22988,male,1.0
Terri,1815,1.212,93.884,3.085,1.543,0.165,0.11,96790,female,1.0
Terrie,206,1.456,92.718,4.369,0.971,0.0,0.485,10974,female,1.0
Terrill,36,0.0,83.333,13.889,2.778,0.0,0.0,64,male,0.92
Terry,4864,0.72,93.195,4.235,1.357,0.267,0.226,31419,male,0.79
Teryl,19,0.0,100.0,0.0,0.0,0.0,0.0,36,female,0.78
Tessa,96,1.042,93.75,2.083,3.125,0.0,0.0,37199,female,1.0
Tetyana,20,0.0,100.0,0.0,0.0,0.0,0.0,647,female,0.99
Thad,111,0.901,95.495,1.802,0.901,0.0,0.901,4665,male,1.0
Thaddeus,150,0.667,92.667,6.0,0.0,0.667,0.0,4875,male,1.0
Thai,90,2.222,1.111,1.111,94.444,0.0,1.111,1125,male,0.81
Thang,87,0.0,2.299,0.0,97.701,0.0,0.0,671,male,0.94
Thanh,373,0.268,1.34,0.0,98.123,0.0,0.268,2639,male,0.73
Thao,103,0.0,5.825,0.0,94.175,0.0,0.0,934,female,0.8
Thea,76,2.632,86.842,6.579,3.947,0.0,0.0,21502,female,1.0
Thelma,395,13.924,55.696,21.266,8.608,0.0,0.506,22945,female,1.0
Theo,36,5.556,69.444,11.111,13.889,0.0,0.0,14226,male,0.97
